MEMBER,,TYPE,TEXT,規格書
JLM000D,已下載,DSPF,產生傳票主畫面                          910074,
KIA001D,已下載,DSPF,盤點資料產生                                A1087,
KIA002D,已下載,DSPF,盤點資料輸入                                A1087,
KIA003D,已下載,DSPF,盤點結果更新                                A1087,
KIA003P,已下載,PRTF,盤點結果更新錯誤報表                        A1087,
KIA004D,已下載,DSPF,盤點資料清除                                A1087,
KIA005D,已下載,DSPF,盤點基準資料產生,
KIB001D,已下載,DSPF,年終成本庫存備份,
KIB002D,已下載,DSPF,專櫃銷售年終成本庫存調整－調整,
KIB003D,已下載,DSPF,專櫃銷售年終成本庫存更新－銷售,
KIB004D,已下載,DSPF,專櫃盤點年終成本庫存更新－盤點,
KIB006D,已下載,DSPF,專櫃採購月底成本庫存更新－採購,
KII021D,已下載,DSPF,盤點資料查詢,
KII022D,已下載,DSPF,年終成本數量查詢,
KII023D,已下載,DSPF,盤點更新查詢,
KIM000D,已下載,DSPF,盤點作業系統主畫面,
KIP001D,已下載,DSPF,前台銷售訂單維護                            A1491,
KIP002D,已下載,DSPF,後台銷售訂單維護                            A1491,
KIP003D,已下載,DSPF,前台銷售訂單查詢                            A1491,
KIP004D,已下載,DSPF,茂世專櫃轉檔批次                            A1492,
KIP004P,已下載,PRTF,茂世專櫃轉檔批次 - 錯誤報表                 A1492,
KIP005D,已下載,DSPF,產品牌價維護                                A1492,
KIP006D,已下載,DSPF,牌價上下限百分比維護                        A1492,
KIP008D,已下載,DSPF,專櫃調撥處理 ( 前台 )                       A1492,
KIP009D,已下載,DSPF,專櫃調撥處理 ( 後台 )                       A1492,
KIP010D,已下載,DSPF,IP 對照表維護                               A1491,
KIP012D,已下載,DSPF,失敗訂單處理                                A1492,
KIP013D,已下載,DSPF,專櫃銷售年終成本庫存更新－銷售,
KIP014D,已下載,DSPF,專櫃銷售年終成本庫存更新－調整,
KIP015D,已下載,DSPF,VIP 基本資料維護,
KIP015SD,已下載,DSPF,VIP 視窗查詢,
KIR041D,已下載,DSPF,盤點單 (Screen Check)                       A1087,
KIR041P,已下載,PRTF,盤點單 (Print)  套表                        A1087,
KIR042D,已下載,DSPF,盤點清冊                                    A1087,
KIR042P,已下載,PRTF,盤點清冊                                    A1087,
KIR043AP,已下載,PRTF,盤盈虧表－各物流點                          A1087,
KIR043BP,已下載,PRTF,盤盈虧表－總                                A1087,
KIR043D,已下載,DSPF,盤盈虧表                                    A1087,
KIR044D,已下載,DSPF,物流點盤點明細表,
KIR044P,已下載,PRTF,物流點盤點明細表,
KIR045D,已下載,DSPF,盤點庫存檢查報表,
KIR045P,已下載,PRTF,盤點庫存檢查報表,
KIR046AP,已下載,PRTF,年終成本數量列印,
KIR046BP,已下載,PRTF,年終成本數量列印,
KIR046D,已下載,DSPF,年終成本數量列印,
KIR047D,已下載,DSPF,年終成本標準箱數表,
KIR047P,已下載,PRTF,年終成本標準箱數表,
KIR047Z,已下載,PRTF,年終成本標準箱數表,
KIR048D,已下載,DSPF,年終庫存物流彙總表,
KIR048P,已下載,PRTF,年終庫存物流彙總表,
KIS000D1,已下載,DSPF,前台管理主畫面                              A1492,
KIS000D2,已下載,DSPF,後台管理主畫面                              A1492,
KIS000D3,已下載,DSPF,專櫃報表管理主畫面                          A1491,
KIS004D,已下載,DSPF,前台訂單處理維護                            A1492,
KIS005D,已下載,DSPF,後台訂單處理維護                            A1492,
KIS006D,已下載,DSPF,茂世產品匯總表 ( 後台 )                     A1491,
KIS007D,已下載,DSPF,其他產品匯總表 ( 後台 )                     A1491,
KIS008D,已下載,DSPF,訂單轉採購                                  A1492,
KIS008P,已下載,PRTF,訂單轉採購 - 無報價資料表                   A1491,
KIS009D,已下載,DSPF,後台採購單查詢                              A1492,
KIS010D,已下載,DSPF,採購訂單驗收 ( 前台 )                       A1492,
KIS011D,已下載,DSPF,採購訂單查詢 ( 前台 )                       A1492,
KIS012D,已下載,DSPF,大榮送貨檔                                  A1492,
KIS013D,已下載,DSPF,後台採購單查詢 --- (BY  供應商 )            A1492,
KIS014D,已下載,DSPF,採購單批次結案                              A1118,
KIS015D,已下載,DSPF,茂世產品匯總表 ( 後台 )                     A1491,
KIS016D,已下載,DSPF,進貨分析表                                  A1491,
KIS017D,已下載,DSPF,物流點庫存報表          　　　　            A1491,
KIS017P,已下載,PRTF,物流點庫存報表      　　　　                A1491,
KIS018D,已下載,DSPF,物流點庫存報表          　　　　            A1491,
KIS018P,已下載,PRTF,物流點庫存報表 - 年終   　　                A1491,
KIS020D,已下載,DSPF,產品名稱報表            　　　　            A1491,
KIS020P,已下載,PRTF,產品名稱報表          　　　                A1491,
KIS021D,已下載,DSPF,專櫃銷售日報表          　　　　            A1491,
KIS022D,已下載,DSPF,調撥單批次結案                              A1118,
KIS023D,已下載,DSPF,銷售訂單確認報表,
KIS024D,已下載,DSPF,失敗訂單報表,
LKSD,已下載,DSPF,,
LOGP,已下載,PRTF,LOG==> 傳票控制檔資料列印                    A1149,
LOGP@AD,已下載,PRTF,LOG==> 傳票控制檔資料列印 ARADPF             A1149,
LOG01P,已下載,PRTF,LOG==> 傳票未處理資料列印,
MENU001,已下載,MNUDDS,,
MENU001QQ,已下載,MNUCMD,,
MSGSTD,已下載,DSPF,,
MSOM00D,已下載,DSPF,月報表系統主畫面,
MSOR041D,已下載,DSPF,月通路產品銷售彙總表,
MSOR041P,已下載,PRTF,月通路產品銷售彙總表,
MSOR041Z,已下載,PRTF,月通路產品銷售彙總表,
MSOR042D,已下載,DSPF,月業務員業績報表,
MSOR042P,已下載,PRTF,月業務員業績報表,
MSOR043D,已下載,DSPF,月品牌通路銷售彙總表,
MSOR043P,已下載,PRTF,月品牌通路銷售彙總表,
MSOR044D,已下載,DSPF,月ＹＴＤ通路銷售彙總表,
MSOR044P,已下載,PRTF,月ＹＴＤ品牌通路銷售彙總表（明細）,
MSOR044Y,已下載,PRTF,月ＹＴＤ品牌通路銷售彙總表,
MSOR044Z,已下載,PRTF,月ＹＴＤ品牌通路銷售彙總表,
MSOR045D,已下載,DSPF,月客戶銷售（退）統計表,
MSOR045P,已下載,PRTF,月客戶銷售（退）統計表,
MSOR045Z,已下載,PRTF,月客戶銷售（退）統計表,
MSOR046D,已下載,DSPF,月產品銷售（退）統計表－份通路,
MSOR046P,已下載,PRTF,月產品銷售（退）統計表,
MSOR046Z,已下載,PRTF,月產品銷售（退）統計表,
MSOR047D,已下載,DSPF,月存貨週轉統計年報,
MSOR047P,已下載,PRTF,月存貨週轉統計年報,
MSOR047Z,已下載,PRTF,月存貨週轉統計年報,
MSOR048D,已下載,DSPF,通路產品平均銷售單價表,
MSOR048P,已下載,PRTF,通路產品平均銷售單價表,
MSOR048Z,已下載,PRTF,通路產品平均銷售單價表,
MTA001D,已下載,DSPF,產品基本資料維護                            A1034,
MTA002D,已下載,DSPF,供應商基本資料維護                          A1034,
MTA003D,已下載,DSPF,客戶基本資料維護   sys ctl    FOR EDP       A1118,
