MEMBER,,TYPE,TEXT,規格書
ARR0472,已下載,RPG,價差折讓明細表                              A1087,
ARR048,已下載,RPG,應收帳款明細表 (SCREEN CHECK),
ARR0481,已下載,RPG,應收帳款明細表 (WRITE WORKFILE),
ARR0482,已下載,RPG,應收帳款明細表 (PRINT REPORTS),
ARR049,已下載,RPG,票據預計兌現明細表 (SCREEN CHECK)           A1139,
ARR0491,已下載,RPG,票據預計兌現明細表 (PRINT REPORTS)          A1139,
ARR050,已下載,RPG,電子統一發票重印 (SCREEN CHECK)   套表 @    A1118,
ARR0501,已下載,RPG,電子統一發票重印 (PRINT REPORTS)  套表      A1118,
ARR051,已下載,RPG,統一發票申報表 (SCREEN CHECK)     套表      A1118,
ARR0512,已下載,RPG,統一發票申報表 (PRINT REPORTS)    套表      A1118,
ARR052,已下載,RPG,應收帳款管理表 (SCREEN CHECK)               A1118,
ARR0521,已下載,RPG,應收帳款管理表 (PRINT REPORTS)              A1118,
ARR053,已下載,RPG,票據兌現明細表 (SCREEN CHECK)               A1087,
ARR0531,已下載,RPG,票據兌現明細表 (PRINT REPORTS)              A1087,
ARR054,已下載,RPG,轉帳／寄賣發票列印 (SCREEN CHECK)   套表    A1118,
ARR0541,已下載,RPG,轉帳／寄賣發票列印 (PRINT REPORTS)  套表    A1118,
ARR055,已下載,RPG,物流點存貨成本表 (SCREEN CHECK)             A1139,
ARR055A,已下載,RPG,物流點存貨成本表 for autojobscde,
ARR0551,已下載,RPG,物流點存貨成本表 (PRINT REPORTS)            A1139,
ARR056,已下載,RPG,銷退折讓分配差異報表 (SCREEN CHECK)         A1139,
ARR0561,已下載,RPG,銷退折讓分配差異報表 (PRINT REPORTS)        A1139,
ARR057,已下載,RPG,折讓單 (SCREEN CHECK)-- 套表                A1087,
ARR0571,已下載,RPG,折讓單 (PRINT REPORTS) 套表  920804         A1087,
ARR0572,已下載,RPG,折讓單 (PRINT REPORTS) 套表－價差,
ARR058,已下載,RPG,客戶收款未分配餘額表 (SCREEN CHECK),
ARR0581,已下載,RPG,客戶收款未分配餘額表,
ARR059,已下載,RPG,預開發票明細表 (SCREEN CHECK),
ARR0591,已下載,RPG,預開發票明細表 (PRINT REPORTS),
ARR060,已下載,RPG,統一發票申報作業 (SCREEN CHECK),
ARR0601,已下載,RPG,統一發票申報作業 (WRITE DATAFILE),
ARR0602,已下載,RPG,統一發票申報作業 (PRINT REPORTS),
ARR061,已下載,RPG,跨月折讓明細表 (SCREEN CHECK),
ARR0611,已下載,RPG,跨月折讓明細表（依產品） (PRINT REPORTS),
ARR0612,已下載,RPG,跨月折讓明細表（依客戶） (PRINT REPORTS),
ARR062,已下載,RPG,統一發票調節參考表 (SCREEN CHECK)           A1084,
ARR0621,已下載,RPG,統一發票調節參考表 (WRITE WORK FILE)        A1084,
