MEMBER,,TYPE,TEXT,規格書
ARR051C1,已下載,CLP,統一發票申報表       套表                   A1118,
ARR052C,已下載,CLP,應收帳款管理表                              A1118,
ARR052C1,已下載,CLP,應收帳款管理表                              A1118,
ARR053C,已下載,CLP,票據兌現明細表                              A1087,
ARR053C1,已下載,CLP,票據兌現明細表                              A1087,
ARR054C,已下載,CLP,轉帳／寄賣發票列印    套表                  A1118,
ARR054C1,已下載,CLP,轉帳／寄賣發票列印    套表                  A1118,
ARR055C,已下載,CLP,物流點存貨成本表                            A1139,
ARR055CA,已下載,CLP,物流點存貨成本表  for addjobscde            A1139,
ARR055C1,已下載,CLP,物流點存貨成本表                            A1139,
ARR056C,已下載,CLP,銷退折讓分配差異報表                        A1139,
ARR056C1,已下載,CLP,銷退折讓分配差異報表                        A1139,
ARR057C,已下載,CLP,折讓單（套表）                              A1087,
ARR057C1,已下載,CLP,折讓單（套表）                              A1087,
ARR058C,已下載,CLP,客戶收款未分配餘額表,
ARR058C1,已下載,CLP,客戶收款未分配餘額表,
ARR059C,已下載,CLP,預開發票明細表,
ARR059C1,已下載,CLP,預開發票明細表,
ARR060C,已下載,CLP,統一發票申報作業－試印,
ARR060C1,已下載,CLP,統一發票申報作業－試印,
ARR061C,已下載,CLP,跨月折讓明細表,
ARR061C1,已下載,CLP,跨月折讓明細表,
ARR062C,已下載,CLP,統一發票調節參考表                          A1084,
ARR062C1,已下載,CLP,統一發票調節參考表                          A1084,
ARR063C,已下載,CLP,應收帳款彙總表,
ARR063C1,已下載,CLP,應收帳款彙總表                          A1084,
ARR064C,已下載,CLP,收款沖帳明細表,
ARR064C1,已下載,CLP,收款沖帳明細表,
ARR065C,已下載,CLP,代理商補差額報表                          A1084,
ARR065C1,已下載,CLP,代理商補差額報表                          A1084,
ARR066C,已下載,CLP,發票作廢排行榜,
ARR066C1,已下載,CLP,發票作廢排行榜,
ARR067C,已下載,CLP,收款分配明細表,
ARR067C1,已下載,CLP,收款分配明細表,
ARR068C,已下載,CLP,出貨統一發票核對表,
ARR068C1,已下載,CLP,出貨統一發票核對表,
ARR069C,已下載,CLP,產品銷貨成本明細表,
ARR069C1,已下載,CLP,產品銷貨成本明細表,
ARR070C,已下載,CLP,寄賣產品成本明細表,
ARR070C1,已下載,CLP,寄賣產品成本明細表,
ARR071C,已下載,CLP,折讓成本差異表,
ARR071C1,已下載,CLP,折讓成本差異表,
ARR072C,已下載,CLP,人工發票差異表,
ARR072C1,已下載,CLP,人工發票差異表,
ARR073C,已下載,CLP,遞延銷退餘額明細表,
ARR073C1,已下載,CLP,遞延銷退餘額明細表,
ARR074C,已下載,CLP,轉帳銷退折讓單明細表,
ARR074C1,已下載,CLP,轉帳銷退折讓單明細表,
ARR075C,已下載,CLP,應收帳款週轉率分析表,
ARR075C1,已下載,CLP,應收帳款週轉率分析表,
ARR076C,已下載,CLP,應收票據明細表,
ARR076C1,已下載,CLP,應收票據明細表,
ARR077C,已下載,CLP,折讓單簽收明細表,
ARR077C1,已下載,CLP,折讓單簽收明細表,
ARR078C,已下載,CLP,調整原因分析表,
ARR078C1,已下載,CLP,調整原因分析表,
ARR079C,已下載,CLP,票據兌現明細表,
ARR079C1,已下載,CLP,票據兌現明細表,
ARR080C,已下載,CLP,發票日期帳齡分析表,
ARR080C1,已下載,CLP,發票日期帳齡分析表,
ARR082C,已下載,CLP,帳齡排行榜,
ARR082C1,已下載,CLP,帳齡棑行榜,
ARR083C,已下載,CLP,收款未分配明細表,
ARR083C1,已下載,CLP,收款未分配明細表,
ARR090C,已下載,CLP,應收日期帳齡分析表,
ARR090C1,已下載,CLP,應收日期帳齡分析表,
ARR092C,已下載,CLP,已拋轉發票彙總報表,
ARR092C1,已下載,CLP,已拋轉發票彙總報表,
ATM000C,已下載,CLP,ａｔｔ管理資訊系統主畫面 -user,
ATN01,已下載,CLP,ATN PGM,
ATN03C,已下載,CLP,strprtwtr,
ATN04C,已下載,CLP,wrkoutq,
ATN05C,已下載,CLP,vrycfg *dev *on for remote workstation,
BACKUP,已下載,CLP,JOB SCHEDULE ENTRY BACKUP PROGRAM,
CHKSDSOC1,已下載,CLP,檢測試飲及收回數量檔,
